location_name,datetimeLocal,co,no2,o3,pm1,pm10,pm25,relativehumidity,temperature,um003
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T15:22:52+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T15:39:56+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T15:57:01+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T16:14:06+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T16:31:47+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T16:48:55+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T17:05:59+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T18:14:24+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T18:31:53+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T18:49:04+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T19:06:15+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T21:06:13+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T21:24:07+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T21:41:23+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T21:58:29+01:00,,,,,,0.0,,,
PTA-NORTH,2025-08-03T03:00:00+02:00,,,,13.663708289464315,,22.20591656366984,42.1758337020874,14.403291463851929,2536.5166829427085
PTA-NORTH,2025-08-03T04:00:00+02:00,,,,13.664249976476034,,21.170499801635746,42.87562497456869,14.002999941507976,2466.420857747396
PTA-NORTH,2025-08-03T05:00:00+02:00,,,,12.675333261489868,,19.36804183324178,43.72879219055176,13.67495838801066,2258.5562438964844
PTA-NORTH,2025-08-03T06:00:00+02:00,,,,12.541166623433432,,19.2296249071757,44.81212488810221,13.273333311080933,2241.499989827474
PTA-NORTH,2025-08-03T07:00:00+02:00,,,,16.123541752497356,,25.571791489919026,45.833208084106445,13.010291735331217,2873.4666748046875
PTA-NORTH,2025-08-03T08:00:00+02:00,,,,23.376041889190677,,37.40733337402344,46.09512488047282,13.5024999777476,4567.212463378906
PTA-NORTH,2025-08-03T09:00:00+02:00,,,,21.117916504542038,,33.13783359527588,42.71066602071127,15.061041673024496,3960.549967447917
PTA-NORTH,2025-08-03T10:00:00+02:00,,,,25.01991669336955,,39.735833485921226,42.43245792388916,15.557166735331217,5138.214599609375
PTA-NORTH,2025-08-03T11:00:00+02:00,,,,15.9422500928243,,25.192875226338703,40.28737545013428,16.898500124613445,3122.179168701172
PTA-NORTH,2025-08-03T12:00:00+02:00,,,,11.54087503751119,,18.230374733606972,37.000291188557945,18.685624917348225,2257.358357747396
PTA-NORTH,2025-08-03T13:00:00+02:00,,,,10.620708306630451,,16.622666756312054,33.94075012207031,20.21945842107137,2100.0479532877603
PTA-NORTH,2025-08-03T14:00:00+02:00,,,,11.526750008265177,,18.326292037963867,30.649750073750813,21.57716655731201,2237.4229329427085
PTA-NORTH,2025-08-03T15:00:00+02:00,,,,12.217208305994667,,19.23324982325236,29.050750096639,21.66029167175293,2373.410400390625
PTA-NORTH,2025-08-03T16:00:00+02:00,,,,14.778666655222574,,22.96779155731201,30.18808364868164,21.48566675186157,2804.9770711263022
PTA-NORTH,2025-08-03T17:00:00+02:00,,,,13.564583460489908,,20.845125198364254,31.32433334986369,20.986791610717773,2616.268758138021
PTA-NORTH,2025-08-03T18:00:00+02:00,,,,14.942583322525024,,22.90287510553996,32.367000102996826,20.300333658854168,2832.8937377929688
PTA-NORTH,2025-08-03T19:00:00+02:00,,,,19.13124990463257,,29.237458388010666,34.25141557057699,18.840708414713543,3635.624979654948
PTA-NORTH,2025-08-03T20:00:00+02:00,,,,18.92412503560384,,29.042666753133137,35.65079148610433,17.8116668065389,3622.766682942709
PTA-NORTH,2025-08-03T21:00:00+02:00,,,,19.926875193913776,,30.47779130935669,36.04187456766764,17.376166343688965,3873.360392252604
PTA-NORTH,2025-08-03T22:00:00+02:00,,,,12.550041596094768,,19.223000208536785,34.81287447611491,17.26966651280721,2377.8374837239585
PTA-NORTH,2025-08-03T23:00:00+02:00,,,,10.762208302815756,,16.549041748046875,34.728583017985024,17.043875217437744,2068.3104146321616
PTA-NORTH,2025-08-04T00:00:00+02:00,,,,11.869791746139526,,18.0240003267924,35.502416928609215,16.511791547139484,2265.1812337239585
PTA-NORTH,2025-08-04T01:00:00+02:00,,,,13.447208484013876,,20.942375024159748,36.57608381907145,16.28304147720337,2567.4395548502603
PTA-NORTH,2025-08-04T02:00:00+02:00,,,,23.130249977111816,,35.93466663360596,37.52729193369547,16.266666730244953,4695.666646321614
SunuAir ,2025-08-03T01:00:00Z,,,,13.751958390076956,,21.35012503465017,55.42895857493082,29.920833428700764,886.8577524820963
SunuAir ,2025-08-03T02:00:00Z,,,,0.8484166612227758,,3.3200416564941406,54.68670813242594,29.585166613260903,307.07883707682294
SunuAir ,2025-08-03T03:00:00Z,,,,0.6634166619429985,,3.1702083150545755,56.14537556966146,29.0368332862854,300.5044657389323
SunuAir ,2025-08-03T04:00:00Z,,,,2.0510416527589164,,4.949749986330668,58.0697078704834,28.99724992116292,364.5450820922852
SunuAir ,2025-08-03T05:00:00Z,,,,2.550333321094513,,5.6663750012715655,59.44162527720133,28.62920840581258,403.819580078125
SunuAir ,2025-08-03T06:00:00Z,,,,3.4897083242734275,,7.223124980926514,59.58179124196371,28.74787489573161,451.7909164428711
SunuAir ,2025-08-03T07:00:00Z,,,,3.419583320617676,,6.586374998092651,59.25916735331217,28.813249746958416,437.65432993570965
SunuAir ,2025-08-03T08:00:00Z,,,,4.027958373228709,,7.759125073750813,58.51691691080729,28.86333354314168,474.9956665039063
SunuAir ,2025-08-03T09:00:00Z,,,,2.983374993006388,,6.008083343505859,56.52825005849203,29.317291418711346,421.4901682535808
SunuAir ,2025-08-03T10:00:00Z,,,,1.6849999924500785,,4.545250058174133,54.39295800526937,30.011917273203533,359.02383677164715
SunuAir ,2025-08-03T11:00:00Z,,,,1.4405000160137813,,3.939958333969116,50.8258326848348,31.07654190063477,338.3717956542969
SunuAir ,2025-08-03T12:00:00Z,,,,1.3270833094914751,,3.761374950408936,46.540833473205566,32.197125593821205,335.45970916748047
SunuAir ,2025-08-03T13:00:00Z,,,,0.904500017563502,,3.087375005086263,44.36450004577637,32.82475026448568,310.75316365559894
SunuAir ,2025-08-03T14:00:00Z,,,,0.4848749957357843,,2.685208340485891,40.62891674041748,34.19799995422363,291.4432957967122
SunuAir ,2025-08-03T15:00:00Z,,,,1.060750000178814,,3.5670000116030374,41.18929195404053,34.10891660054525,324.34028879801434
SunuAir ,2025-08-03T16:00:00Z,,,,1.2095833321412404,,3.583875000476837,41.42329120635986,34.04204177856445,325.12745666503906
SunuAir ,2025-08-03T17:00:00Z,,,,1.6760000139474869,,4.27008330821991,43.15629164377848,33.160125414530434,355.8389536539714
SunuAir ,2025-08-03T18:00:00Z,,,,1.1023749882976217,,3.7541250189145408,42.92166709899902,33.30995845794678,332.9834162394206
SunuAir ,2025-08-03T19:00:00Z,,,,2.316374997297922,,5.050666670004527,45.96633275349935,32.027000427246094,391.2592137654622
SunuAir ,2025-08-03T20:00:00Z,,,,2.263250003258387,,5.336708307266235,50.9693333307902,29.998416582743328,400.3251622517904
SunuAir ,2025-08-03T21:00:00Z,,,,3.318499982357025,,6.6032917102177935,53.50187460581461,29.177749792734783,449.3260752360026
SunuAir ,2025-08-03T22:00:00Z,,,,4.157333344221115,,8.763999978701273,53.67958386739095,29.13966639836629,499.4172058105469
SunuAir ,2025-08-03T23:00:00Z,,,,3.0272083481152854,,6.228333353996277,53.31633345286051,29.08120854695638,432.5071258544922
SunuAir ,2025-08-04T00:00:00Z,,,,2.9256250063578286,,5.97279171148936,53.87929121653239,28.924416383107506,424.3112513224284
